id;amount_you_owe;amount_friend_owes;net_receivable_payable;crypto_currency;currency_value;crypto_receivable_payable;sort_order;date_added;date_modified;account_status
1;96113;89691;79862;TCP copying;33699;39668;58502;2022-06-02;2022-06-01;YELLOW
2;29107;9778;64961;Technician Global uniform;41331;89202;66270;2022-06-01;2022-06-01;RED
3;15220;31901;97344;Garden morph;83017;10506;60384;2022-06-02;2022-06-01;RED
4;12085;14833;99035;SQL;83522;53347;70662;2022-06-01;2022-06-02;GREEN
5;66144;15489;37039;payment Refined incentivize;85724;28284;43392;2022-06-02;2022-06-02;YELLOW
6;9584;3592;50212;Account hack Savings;49216;44680;95256;2022-06-02;2022-06-02;GREEN
7;73343;78120;36520;expedite;5059;84234;378;2022-06-02;2022-06-01;RED
8;99201;11921;29860;Lithuania streamline Borders;32838;15838;21006;2022-06-01;2022-06-02;YELLOW
9;26146;60382;14202;Personal;32039;13285;47681;2022-06-02;2022-06-01;GREEN
10;54202;7320;40859;up Money;11657;28324;96350;2022-06-01;2022-06-02;GREEN
