id;name;date;type;sort_order;date_added;date_modified;status
1;Centers;2022-06-01;Upgradable plum holistic;36622;2022-06-02;2022-06-01;COMPLETED
2;mindshare Dynamic;2022-06-02;e-enable compelling;73267;2022-06-02;2022-06-01;CANCELLED
3;e-services Avon cross-platform;2022-06-01;Secured Fresh Oklahoma;15876;2022-06-02;2022-06-01;COMPLETED
4;capacitor;2022-06-01;Turnpike;23118;2022-06-02;2022-06-02;CANCELLED
5;Books;2022-06-02;Station;52530;2022-06-01;2022-06-01;COMPLETED
6;workforce executive;2022-06-01;Cambridgeshire;41355;2022-06-01;2022-06-02;CANCELLED
7;B2C encoding mobile;2022-06-01;transmitting Markets;7919;2022-06-02;2022-06-02;CANCELLED
8;Cotton Refined Croatian;2022-06-02;Keyboard logistical;66078;2022-06-02;2022-06-02;INPROGRESS
9;Handmade up Nevis;2022-06-01;encoding Handmade Estonia;7184;2022-06-01;2022-06-02;INPROGRESS
10;Mouse;2022-06-01;Principal;83645;2022-06-02;2022-06-02;COMPLETED
