id;currency;value;feed_date_time;date_added;date_modified
1;hardware Tunisia silver;62374;2022-06-02;2022-06-02;2022-06-01
2;Table value-added Chair;37838;2022-06-02;2022-06-02;2022-06-02
3;calculating;86692;2022-06-02;2022-06-01;2022-06-02
4;Legacy Towels feed;99920;2022-06-01;2022-06-02;2022-06-02
5;Vermont;79900;2022-06-02;2022-06-02;2022-06-02
6;Macedonia RAM bypassing;90273;2022-06-02;2022-06-02;2022-06-02
7;Rial SMS haptic;37196;2022-06-02;2022-06-02;2022-06-01
8;Pula networks Dong;63878;2022-06-01;2022-06-01;2022-06-02
9;Administrator;74919;2022-06-02;2022-06-02;2022-06-02
10;SQL FTP;30571;2022-06-02;2022-06-01;2022-06-02
