id;description;paid_by;amount;crypto_currency;sort_order;date_added;date_modified
1;Senior Montenegro Centralized;15823;9370;Research Customer Customer;65985;2022-06-01;2022-06-01
2;incentivize Kids channels;86600;30240;generating deposit protocol;23845;2022-06-02;2022-06-02
3;transmitting;44794;15892;SDD Dinar;60198;2022-06-01;2022-06-01
4;bypassing Hollow Global;59658;10703;Cocos Concrete;5464;2022-06-01;2022-06-01
5;Georgia application;46995;13171;Jersey JSON;86124;2022-06-01;2022-06-02
6;Vatu;63486;22957;Small Dakota;84860;2022-06-02;2022-06-02
7;SSL Ohio;28208;36178;Investor relationships;28380;2022-06-01;2022-06-02
8;Automotive Legacy invoice;70716;65356;Investor Switzerland;70363;2022-06-01;2022-06-02
9;Reactive;82303;77703;Plaza multi-tasking;96888;2022-06-01;2022-06-01
10;models Metal;61214;7352;embrace reinvent transition;61769;2022-06-01;2022-06-01
