id;description;amount_you_owe;settlement_status;crypto_currency;currency_value;crypto_receivable_payable;sort_order;transaction_date;date_modified
1;Producer Account;20481;INPROGRESS;Coordinator Investment Paradigm;89583;28127;48159;2022-06-02;2022-06-01
2;Orchard Awesome COM;27622;INPROGRESS;Bedfordshire Investor Garden;70217;55272;89114;2022-06-01;2022-06-02
3;JBOD;40247;CANCELLED;productivity;94945;72170;76912;2022-06-01;2022-06-02
4;multi-byte;67782;INPROGRESS;infrastructure EXE;29239;72041;42804;2022-06-01;2022-06-02
5;Quetzal;35999;COMPLETED;Convertible;51126;59607;13455;2022-06-01;2022-06-02
6;benchmark;68276;CANCELLED;American feed;96674;24197;91038;2022-06-01;2022-06-01
7;Response;61008;INPROGRESS;rich;74071;73820;3369;2022-06-01;2022-06-01
8;Engineer;9837;COMPLETED;Morocco Executive reinvent;19238;19533;95543;2022-06-02;2022-06-01
9;Soap Montana;99604;CANCELLED;Texas National;62954;67159;33883;2022-06-02;2022-06-02
10;Account calculate Architect;42166;COMPLETED;Bacon;46728;79364;34028;2022-06-02;2022-06-01
